Cedar St=2639=	-122.25834056	37.88006805	310.382	678.704
Le Conte Ave=2510=	-122.26015763	37.87679261	-854.576	2587.49
Le Conte Ave=2526=	-122.25984469	37.87674965	-717.64	2586.3
Le Conte Ave=2540=	-122.25967287	37.87677076	-637.583	2560.97
Le Conte Ave=2552=	-122.2595006	37.87679551	-556.926	2533.6
Le Conte Ave=2562=	-122.25933133	37.87681883	-477.783	2507.26
Le Conte Ave=2572=	-122.25916348	37.87684136	-399.368	2481.46
Le Conte Ave=2525=	-122.26022768	37.87712954	-849.552	2407.08
Le Conte Ave=2634=	-122.25797414	37.87699862	156.	2300.
Le Conte Ave=2656=	-122.257717	37.87702877	264.518	2299.94
Le Conte Ave=2704=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2479=	-122.26108829	37.87714258	-1237.59	2468.37
Le Conte Ave=2589=	-122.25908056	37.87730265	-311.563	2220.23
Le Conte Ave=2599=	-122.25891085	37.87732435	-232.397	2194.74
Le Conte Ave=2704=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2535=	-122.25986894	37.87728096	-670.702	2294.94
Le Conte Ave=2601=	-122.25840001	37.8773782	4.64936	2124.36
Le Conte Ave=2559=	-122.25952676	37.87732684	-510.851	2242.39
Le Conte Ave=2575=	-122.25926992	37.8773635	-390.624	2201.71
Le Conte Ave=2609=	-122.25812439	37.87751496	144.286	2026.94
Le Conte Ave=2617=	-122.25795751	37.87754743	219.602	2010.85
Le Conte Ave=2663=	-122.25778856	37.87757986	292.308	2008.95
Le Conte Ave=2669=	-122.25761747	37.87759328	363.926	2017.3
Le Conte Ave=2683=	-122.25744438	37.87760443	436.093	2025.22
Le Conte Ave=2695=	-122.25720132	37.87764916	540.356	2016.97
Le Conte Ave=2611=	-122.25812439	37.87751496	144.286	2026.94
Le Conte Ave=2710=	-122.25635346	37.87721102	842.285	2288.34
Le Conte Ave=2704=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2710=	-122.25635346	37.87721102	842.285	2288.34
Le Conte Ave=2704=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2704=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2710=	-122.25635346	37.87721102	842.285	2288.34
Le Conte Ave=2613=	-122.25812439	37.87751496	144.286	2026.94
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2710=	-122.25635346	37.87721102	842.285	2288.34
Le Conte Ave=2711=	-122.2564695	37.87759916	835.08	2085.41
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2615=	-122.25812439	37.87751496	144.286	2026.94
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2609=	-122.25812439	37.87751496	144.286	2026.94
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2700=	-122.25682095	37.87713165	642.442	2300.85
Le Conte Ave=2704=	-122.25682095	37.87713165	642.442	2300.85
Le Roy Ave=1780=	-122.25872831	37.87644807	-245.303	2663.93
Le Roy Ave=1776=	-122.25885409	37.87662308	-283.148	2577.33
Le Roy Ave=1772=	-122.25887568	37.87674287	-279.861	2512.92
Le Roy Ave=1777=	-122.25824519	37.87661288	-8.70653	2534.5
Le Roy Ave=1756=	-122.25892324	37.87693376	-280.577	2411.34
Le Roy Ave=1755=	-122.25832454	37.87699254	-3.23351	2331.24
Le Roy Ave=1720=	-122.2590336	37.87748062	-270.913	2118.25
Le Roy Ave=1735=	-122.25844725	37.87758343	5.64096	2014.84
Le Roy Ave=1725=	-122.2584934	37.8777835	6.5634	1908.07
Le Roy Ave=1700=	-122.25908743	37.87773599	-267.439	1981.57
Le Roy Ave=1676=	-122.25912347	37.87833313	-218.661	1654.82
Le Roy Ave=1685=	-122.25861099	37.87836287	16.4992	1597.61
Le Roy Ave=1666=	-122.25915064	37.87846893	-216.155	1582.02
Le Roy Ave=1675=	-122.25863648	37.87849014	18.8361	1529.39
Le Roy Ave=1665=	-122.25866513	37.87862927	21.0357	1454.87
Le Roy Ave=1636=	-122.25875622	37.87908262	29.228	1211.87
Le Roy Ave=1626=	-122.25885496	37.87925864	3.7298	1122.56
Le Roy Ave=1635=	-122.2584486	37.87929025	191.07	1072.77
Le Roy Ave=1643=	-122.25820179	37.87925176	292.61	1100.02
Le Roy Ave=1620=	-122.25904865	37.87938125	-70.5588	1070.3
Le Roy Ave=1619=	-122.25844461	37.87943909	209.099	990.296
Le Roy Ave=1596=	-122.25904852	37.87988456	-15.6401	792.458
Le Roy Ave=1597=	-122.25858214	37.87994496	202.	722.
Le Roy Ave=1594=	-122.25907115	37.88001298	-11.8836	723.37
Le Roy Ave=1590=	-122.25908944	37.88011852	-8.65696	666.568
Le Roy Ave=1546=	-122.25997299	37.88006489	-414.346	766.488
Le Roy Ave=1595=	-122.25861228	37.88011575	197.628	634.253
Le Roy Ave=1544=	-122.26016264	37.88011625	-494.573	753.231
Le Roy Ave=1550=	-122.2598215	37.88013112	-338.572	717.873
Le Roy Ave=1586=	-122.25910721	37.88021693	-5.97212	613.659
Le Roy Ave=1554=	-122.25961868	37.88002268	-258.607	761.591
Le Roy Ave=1542=	-122.26049234	37.8802438	-629.873	709.062
Le Roy Ave=1584=	-122.25912133	37.88031795	-1.35102	559.02
Le Roy Ave=1562=	-122.25947775	37.88023232	-171.98	634.653
Le Roy Ave=1570=	-122.25932306	37.88027247	-97.5996	600.179
Le Roy Ave=1578=	-122.2592146	37.88041595	-32.8778	512.346
Le Roy Ave=1580=	-122.25908562	37.88043144	27.1795	493.531
Le Roy Ave=1540=	-122.26059884	37.88039474	-661.617	634.218
